province_name,tier,PDRB_resmi,true_PDRB,shadow_economy,pct_shadow,underreporting_rate,tax_potential,tax_realization,tax_gap,pct_tax_gap
Papua,Tier 2,2879010.0,3081252.653154273,202242.65315427305,7.0247290962613205,0.06793040528276324,36489.68948338397,1943.75,34545.93948338397,94.67315280694534
Jawa Timur,Tier 2,2953550.0,3151283.6603689063,197733.66036890633,6.694779515122693,0.06255477829892404,37319.03066215898,28360.8,8958.230662158978,24.00445698404088
Riau,Tier 2,1026470.0,1110112.5734256124,83642.57342561241,8.148564831472173,0.07636202070687893,13146.491916017747,5810.98,7335.511916017747,55.79824612435296
DKI Jakarta,Tier 3,3443030.0,3607766.911603807,164736.911603807,4.784649323526283,0.04517612199372516,42724.92688909623,39045.5,3679.4268890962267,8.611897449578196
Sumatera Utara,Tier 3,1051000.0,1141645.275231202,90645.2752312019,8.62466938451017,0.07700373604276634,13519.917476002325,10187.8,3332.117476002326,24.645989754869365
Sulawesi Tengah,Tier 3,347139.0,371524.574305994,24385.57430599403,7.024729087193898,0.06730508385685409,4399.774337879773,2048.75,2351.024337879773,53.435111833774606
Sumatera Selatan,Tier 3,629169.0,672028.9557133379,42859.95571333787,6.812153127909651,0.06357567543938217,7958.493079987854,6197.26,1761.2330799878537,22.13023322740065
Lampung,Tier 3,448851.0,490344.37329715886,41493.37329715886,9.24435353762359,0.08850996469175432,5806.896069759585,4151.67,1655.2260697595848,28.50448931537557
Jawa Tengah,Tier 3,1695620.0,1809138.0204297085,113518.02042970853,6.694779516030038,0.06245247923923636,21424.69054930783,19915.2,1509.4905493078295,7.045565236211063
Sulawesi Selatan,Tier 3,652648.0,705829.4453888914,53181.445388891385,8.148564829569905,0.07653344206410795,8358.774884657352,6874.83,1483.9448846573523,17.753138529680392
Jambi,Tier 3,293780.0,320073.32578413194,26293.325784131943,8.950005372772804,0.08915216118527387,3790.4636797053345,2311.19,1479.2736797053344,39.026193223419334
Sumatera Barat,Tier 3,312769.0,338727.8512370224,25958.851237022376,8.29968802439576,0.07777231862940183,4011.3796245691956,2942.48,1068.8996245691956,26.646683301234315
Kalimantan Utara,Tier 3,147279.0,156018.51497074525,8739.514970745251,5.933985816542243,0.05817644695857515,1847.646981857591,927.2,920.446981857591,49.81725356064448
Papua Barat,Tier 2,97680.9,134681.8478146161,37000.94781461611,37.879409193215984,0.05084379815037021,1594.9678130979469,709.85,885.1178130979469,55.49439968815169
Kepulauan Riau,Tier 3,331645.0,347393.41785754956,15748.41785754956,4.748576899259619,0.04352049209107194,4114.001470543727,3302.86,811.1414705437269,19.71660623729729
Kalimantan Tengah,Tier 2,208783.0,306795.11070788006,98012.11070788006,46.94448815654534,0.0681803840472971,3633.2166118512855,2823.92,809.2966118512854,22.27493426104624
Aceh,Tier 3,227018.0,248809.2259001395,21791.225900139514,9.59889784076131,0.08866035112899487,2946.5196190267293,2167.46,779.0596190267293,26.439994290079156
Kalimantan Timur,Tier 3,843571.0,890263.2710432159,46692.27104321588,5.535073045803599,0.05257944738763507,10542.929767727215,9840.83,702.0997677272153,6.659437017937851
Sulawesi Tenggara,Tier 3,176180.0,189295.7531929256,13115.753192925593,7.444518783588144,0.07592258237341502,2241.7321888427778,1633.05,608.6821888427778,27.152315154870948
Sulawesi Utara,Tier 3,171969.0,184756.12516562003,12787.125165620033,7.4357152542725915,0.07215399253686905,2187.9717103189305,1781.81,406.16171031893055,18.563389480923693
Bengkulu,Tier 3,96583.1,105404.70000633057,8821.60000633057,9.13368902668331,0.09027150488178223,1248.253618340226,1009.56,238.69361834022607,19.12220520198543
Sulawesi Barat,Tier 3,58572.1,57313.02600438748,-1259.073995612518,-2.149613887179251,0.12043838196744315,678.7286722860309,457.04,221.6886722860309,32.662340834866995
Maluku Utara,Tier 3,85143.1,85671.28082997304,528.1808299730328,0.6203448429444463,0.06283288530534223,1014.5608903344229,937.82,76.74089033442283,7.563951169961543
Gorontalo,Tier 3,51366.7,52930.020571194465,1563.3205711944684,3.043451440708608,0.09949212066409474,626.822994542444,565.7,61.12299454244396,9.751236804428551
Maluku,Tier 3,58487.8,64307.590192783355,5819.790192783352,9.950434437238794,0.0794332826951715,761.5616963955225,725.94,35.62169639552246,4.677453785309875
Kepulauan Bangka Belitung,Tier 3,102527.0,105917.50624274171,3390.5062427417142,3.3069398721719296,0.06546884640676395,1254.3265186954209,1247.3,7.0265186954209184,0.5601825832980828
Kalimantan Barat,Tier 3,274469.0,295539.20281384466,21070.202813844662,7.676714971033036,0.06871915250773425,3499.9186872275245,3519.14,-19.221312772475358,-0.5491931239037329
Nusa Tenggara Timur,Tier 3,128523.0,137781.79383224624,9258.793832246243,7.203997597508806,0.0895248740812705,1631.6788784767564,1706.65,-74.97112152324371,-4.594722804356733
Nusa Tenggara Barat,Tier 3,166395.0,179852.1179063161,13457.117906316096,8.087453292656688,0.0814506252880112,2129.896076068985,2554.23,-424.33392393101485,-19.922752508853918
Daerah Istimewa Yogyakarta,Tier 3,180696.0,202306.76653671046,21610.766536710464,11.959737092525824,0.062419443828370176,2395.814924087762,3593.93,-1198.115075912238,-50.008665688917354
Kalimantan Selatan,Tier 3,269192.0,284848.9977802926,15656.997780292586,5.816293864710907,0.05859329918512439,3373.3200904559494,4671.2,-1297.8799095440504,-38.474851918621944
Jawa Barat,Tier 3,2625230.0,2768934.079706572,143704.079706572,5.473961508384865,0.05492134261721006,32791.061344813905,37173.9,-4382.838655186097,-13.36595546297945
Banten,Tier 3,814122.0,910257.7075899867,96135.70758998673,11.808513661341511,0.04912964654491002,10779.713590124906,15433.5,-4653.786409875094,-43.17170740174712
Bali,Tier 3,274358.0,292900.0832734866,18542.083273486583,6.758353419068,0.06290061063922095,3468.66495266648,11820.3,-8351.635047333519,-240.77376054765205
